"lane.1","lane.2","lane.3","lane.4"
15,21,16,22
40,51,55,42
18,25,27,37
29,15,15,25
29,35,24,31
23,23,21,36
56,54,59,37
26,25,19,26
25,20,25,22
25,20,20,20
31,22,22,31
30,34,27,40
40,53,58,52
19,20,23,26
32,21,31,32
39,33,25,36
20,23,23,32
17,29,22,18
27,36,30,37
43,38,37,48
32,29,23,28
21,22,15,29
20,32,23,31
30,23,33,37
34,39,39,40
34,27,35,30
27,15,28,35
10,18,25,36
50,33,42,54
24,27,23,30
19,33,23,26
28,28,19,36
25,27,36,44
65,65,63,79
29,42,40,43
22,24,27,37
33,29,20,48
39,33,28,44
48,35,47,35
19,30,29,35
13,11,20,24
43,37,32,38
24,21,30,35
144,173,151,185
24,24,29,19
113,99,90,92
25,22,15,28
29,22,19,31
26,20,24,31
22,22,19,29
74,72,65,89
32,31,36,37
18,28,17,28
19,20,17,31
47,32,28,40
21,26,28,31
25,21,14,31
22,23,21,31
1296,1098,1148,1446
31,41,35,42
28,23,23,34
11,25,19,25
25,24,21,37
14,17,19,19
23,23,26,19
29,16,42,38
29,27,29,29
10,19,29,32
23,43,34,40
29,30,24,37
22,26,30,32
26,28,30,31
23,22,26,26
17,20,34,16
50,46,43,48
48,59,73,72
22,21,31,40
37,35,41,49
32,31,29,34
178,203,206,232
71,72,74,95
36,39,43,44
23,22,32,46
26,23,27,42
16,15,16,34
45,34,35,44
24,29,32,23
36,31,40,52
36,46,28,48
31,30,42,35
35,15,32,29
22,28,28,26
23,22,24,38
27,32,35,44
22,28,28,47
24,34,29,31
76,103,96,151
23,29,31,37
15,18,12,23
22,26,21,34
29,25,24,28
27,37,42,41
28,24,27,25
33,31,37,56
30,32,36,62
30,35,38,35
142,165,154,169
23,25,32,44
887,909,916,1154
20,28,20,29
41,37,41,53
22,27,26,30
25,19,32,32
39,41,52,35
212,190,237,256
41,40,23,42
25,25,29,34
53,51,65,64
59,57,50,72
26,18,28,24
31,33,25,26
48,49,52,61
30,24,29,35
31,19,25,25
38,38,42,40
32,39,29,42
29,39,28,41
